conference,year,index,paper_id,given_name,family_name,org,institution,email
aies,2020,0,33756273375807,Jeanna Neefe,Matthews,,clarkson universitypotsdamnyusa,
aies,2020,1,33756273375807,Graham,Northup,,clarkson universitypotsdamnyusa,
aies,2020,2,33756273375807,Isabella,Grasso,,clarkson universitypotsdamnyusa,
aies,2020,3,33756273375807,Stephen,Lorenz,,clarkson universitypotsdamnyusa,
aies,2020,4,33756273375807,Marzieh,Babaeianjelodar,,clarkson universitypotsdamnyusa,
aies,2020,5,33756273375807,Hunter,Bashaw,,clarkson universitypotsdamnyusa,
aies,2020,6,33756273375807,Sumona,Mondal,,clarkson universitypotsdamnyusa,
aies,2020,7,33756273375807,Abigail,Matthews,wisc,university of wisconsin madisonmadisonwiusa,
aies,2020,8,33756273375807,Mariama,Njie,,iona collegenew yorknyusa,
aies,2020,9,33756273375807,Jessica,Goldthwaite,,the legal aid societynew yorknyusa,
aies,2020,0,33756273375847,Pedro M.,Fernandes,,universidade de lisboalisbonportugal,
aies,2020,1,33756273375847,Francisco C.,Santos,,universidade de lisboalisbonportugal,
aies,2020,2,33756273375847,Manuel,Lopes,,universidade de lisboalisbonportugal,
aies,2020,0,33756273375841,Desmond U.,Patton,columbia,columbia universitynew yorknyusa,
aies,2020,1,33756273375841,William R.,Frey,columbia,columbia universitynew yorknyusa,
aies,2020,2,33756273375841,Kyle A.,McGregor,itu,lankenau institute for medical researchphiladelphiapausa,
aies,2020,3,33756273375841,Fei-Tzin,Lee,columbia,columbia universitynew yorknyusa,
aies,2020,4,33756273375841,Kathleen,McKeown,columbia,columbia universitynew yorknyusa,
aies,2020,5,33756273375841,Emanuel,Moss,,city university of new yorknew yorknyusa,
aies,2020,0,33756273375843,Sandhya,Saisubramanian,umass,university of massachusetts amherstamherstmausa,
aies,2020,1,33756273375843,Sainyam,Galhotra,umass,university of massachusetts amherstamherstmausa,
aies,2020,2,33756273375843,Shlomo,Zilberstein,umass,university of massachusetts amherstamherstmausa,
aies,2020,0,33756273375842,Cullen,O'Keefe,ox,university of oxfordsan franciscocausa,
aies,2020,1,33756273375842,Peter,Cihon,ox,university of oxfordoxfordunited kingdom,
aies,2020,2,33756273375842,Ben,Garfinkel,ox,university of oxfordoxfordunited kingdom,
aies,2020,3,33756273375842,Carrick,Flynn,ox,university of oxfordoxfordunited kingdom,
aies,2020,4,33756273375842,Jade,Leung,ox,university of oxfordoxfordunited kingdom,
aies,2020,5,33756273375842,Allan,Dafoe,ox,university of oxfordoxfordunited kingdom,
aies,2020,0,33756273375809,Gunay,Kazimzade,gmail,technische universitt berlinberlingermany,
aies,2020,1,33756273375809,Milagros,Miceli,gmail,technische universitt berlinberlingermany,
aies,2020,0,33756273375846,Arisa,Ema,u-tokyo,the university of tokyotokyojapan,
aies,2020,1,33756273375846,Katsue,Nagakura,,minctokyojapan,
aies,2020,2,33756273375846,Takanori,Fujita,keio,keio universitytokyojapan,
aies,2020,0,33756273375808,Derek,Leben,pitt,university of pittsburghjohnstownpittsburghpausa,
aies,2020,0,33756273375806,Olivia J.,Erdélyi,,university of canterburychristchurchnew zealand,
aies,2020,1,33756273375806,Gábor,Erdélyi,,university of canterburychristchurchnew zealand,
aies,2020,0,33756273375802,Zachary,Schutzman,upenn,university of pennsylvaniaphiladelphiapausa,
aies,2020,0,33756273375845,Suvradip,Maitra,mit,university of queenslandbrisbaneqldaustralia,
aies,2020,0,33756273375812,Shubham,Sharma,utexas,university of texas at austinaustintxusa,
aies,2020,1,33756273375812,Jette,Henderson,,cognitivescaleaustintxusa,
aies,2020,2,33756273375812,Joydeep,Ghosh,,cognitivescaleaustintxusa,
aies,2020,0,33756273375829,Alan,Davoust,,universitdu qubec en outaouaisgatineaupqcanada,
aies,2020,1,33756273375829,Michael,Rovatsos,ed,the university of edinburghedinburghunited kingdom,
aies,2020,0,33756273375818,Vedant,Nanda,umd,university of maryland ampmpiswscollege parkmdusa,
aies,2020,1,33756273375818,Pan,Xu,itu,new jersey institute of technologynewarknjusa,
aies,2020,2,33756273375818,Karthik Abinav,Sankararaman,umd,university of maryland ampfacebookcollege parkmdusa,
aies,2020,3,33756273375818,John P.,Dickerson,umd,university of marylandcollege parkmdusa,
aies,2020,4,33756273375818,Aravind,Srinivasan,umd,university of marylandcollege parkmdusa,
aies,2020,0,33756273375861,Roel I.J.,Dobbe,nyu,new york universitynew yorknyusa,
aies,2020,1,33756273375861,Thomas Krendl,Gilbert,berkeley,university of californiaberkeleyberkeleycausa,
aies,2020,2,33756273375861,Yonatan,Mintz,gatech,georgia institute of technologyatlantagausa,
aies,2020,0,33756273375852,Gemma,Galdon Clavell,,eticas research and consultingbarcelonaspain,
aies,2020,1,33756273375852,Mariano,Martín Zamorano,,eticas research and consultingbarcelonaspain,
aies,2020,2,33756273375852,Carlos,Castillo,gmail,pompeu fabra universitybarcelonaspain,
aies,2020,3,33756273375852,Oliver,Smith,,alpha telefnicabarcelonaspain,
aies,2020,4,33756273375852,Aleksandar,Matic,,alpha telefnicabarcelonaspain,
aies,2020,0,33756273375853,Veljko,Dubljevic,ncsu,north carolina state universityraleighncusa,
aies,2020,0,33756273375862,Yunfeng,Zhang,ibm,ibm thomas jwatson research centeryorktown heightsnyusa,
aies,2020,1,33756273375862,Rachel,Bellamy,ibm,ibm thomas jwatson research centeryorktown heightsnyusa,
aies,2020,2,33756273375862,Kush,Varshney,ibm,ibm thomas jwatson research centeryorktown heightsnyusa,
aies,2020,0,33756273375856,Tongyu,Zhou,,williams collegewilliamstownmausa,
aies,2020,1,33756273375856,Haoyu,Sheng,,williams collegewilliamstownmausa,
aies,2020,2,33756273375856,Iris,Howley,,williams collegewilliamstownmausa,
aies,2020,0,33756273375848,Lingxiao,Huang,yale,yale universitynew havenctusa,
aies,2020,1,33756273375848,Julia,Wei,yale,yale universitynew havenctusa,
aies,2020,2,33756273375848,Elisa,Celis,yale,yale universitynew havenctusa,
aies,2020,0,33756273375811,Heidi A.,McKee,ox,miami universityoxfordohusa,
aies,2020,1,33756273375811,James E.,Porter,ox,miami universityoxfordohusa,
aies,2020,0,33756273375828,Sina,Fazelpour,cmu,carnegie mellon universitypittsburghpausa,
aies,2020,1,33756273375828,Zachary C.,Lipton,cmu,carnegie mellon universitypittsburghpausa,
aies,2020,0,33756273375858,Julian,Zucker,northeastern,northeastern universitybostonmausa,
aies,2020,1,33756273375858,Myraeka,d'Leeuwen,northeastern,northeastern universitybostonmausa,
aies,2020,0,33756273375860,Efrén,Cruz Cortés,psu,the pennsylvania state universitystate collegepausa,
aies,2020,1,33756273375860,Debashis,Ghosh,colorado,university of colorado anschutzauroracousa,
aies,2020,0,33756273375816,Rida,Qadri,mit,massachusetts institute of technologycambridgemausa,
aies,2020,0,33756273375819,Debjani,Saha,umd,university of marylandcollege parkmdusa,
aies,2020,1,33756273375819,Candice,Schumann,umd,university of marylandcollege parkmdusa,
aies,2020,2,33756273375819,Duncan C.,McElfresh,umd,university of marylandcollege parkmdusa,
aies,2020,3,33756273375819,John P.,Dickerson,umd,university of marylandcollege parkmdusa,
aies,2020,4,33756273375819,Michelle L.,Mazurek,umd,university of marylandcollege parkmdusa,
aies,2020,5,33756273375819,Michael Carl,Tschantz,berkeley,international computer science instituteberkeleycausa,
aies,2020,0,33756273375854,Jonathan,Herington,rochester,university of rochesterrochesternyusa,
aies,2020,0,33756273375831,Fernando,Martínez-Plumed,,universitat politcnica de valnciavalenciaspain,
aies,2020,1,33756273375831,Songül,Tolan,,european commission jrcsevillespain,
aies,2020,2,33756273375831,Annarosa,Pesole,,european commission jrcsevilleitaly,
aies,2020,3,33756273375831,José,Hernández-Orallo,,universitat politcnica de valnciavalenciaspain,
aies,2020,4,33756273375831,Enrique,Fernández-Macías,,european commission jrcsevillespain,
aies,2020,5,33756273375831,Emilia,Gómez,,european commission jrcsevillegermany,
aies,2020,0,33756273375834,Osonde A.,Osoba,,rand corporationsanta monicacausa,
aies,2020,0,33756273375875,Chris,Dulhanty,uwaterloo,university of waterloowaterloooncanada,
aies,2020,1,33756273375875,Alexander,Wong,uwaterloo,university of waterloowaterloooncanada,
aies,2020,0,33756273375876,Eyal,Shulman,tau,tel aviv universitytel avivyafoisrael,
aies,2020,1,33756273375876,Lior,Wolf,tau,tel aviv universitytel avivyafoisrael,
aies,2020,0,33756273375872,Osonde A.,Osoba,,rand corporationsanta monicacausa,
aies,2020,1,33756273375872,Benjamin,Boudreaux,,rand corporationsanta monicacausa,
aies,2020,2,33756273375872,Douglas,Yeung,,rand corporationsanta monicacausa,
aies,2020,0,33756273375821,Joy,Lu,cmu,carnegie mellon universitypittsburghpausa,
aies,2020,1,33756273375821,Dokyun (DK),Lee,cmu,carnegie mellon universitypittsburghpausa,
aies,2020,2,33756273375821,Tae Wan,Kim,cmu,carnegie mellon universitypittsburghpausa,
aies,2020,3,33756273375821,David,Danks,cmu,carnegie mellon universitypittsburghpausa,
aies,2020,0,33756273375822,Jongbin,Jung,stanford,stanford universitystanfordcausa,
aies,2020,1,33756273375822,Ravi,Shroff,nyu,new york universitynew yorknyusa,
aies,2020,2,33756273375822,Avi,Feller,berkeley,university of californiaberkeleyberkeleycausa,
aies,2020,3,33756273375822,Sharad,Goel,stanford,stanford universitystanfordcausa,
aies,2020,0,33756273375839,Frank,Pasquale,umd,university of marylandbaltimoremdusa,
aies,2020,0,33756273375823,William,Cai,stanford,stanford universitystanfordcausa,
aies,2020,1,33756273375823,Johann,Gaebler,stanford,stanford universitystanfordcausa,
aies,2020,2,33756273375823,Nikhil,Garg,stanford,stanford universitystanfordcausa,
aies,2020,3,33756273375823,Sharad,Goel,stanford,stanford universitystanfordcausa,
aies,2020,0,33756273375824,Melissa,McCradden,experian,the hospital for sick childrentorontooncanada,
aies,2020,1,33756273375824,Mjaye,Mazwi,experian,the hospital for sick childrentorontooncanada,
aies,2020,2,33756273375824,Shalmali,Joshi,intel,vector institute for artificial intelligencetorontooncanada,
aies,2020,3,33756273375824,James A.,Anderson,experian,the hospital for sick childrentorontooncanada,
aies,2020,0,33756273375825,Md Sultan Al,Nahian,ntu,university of kentuckylexingtonkyusa,
aies,2020,1,33756273375825,Spencer,Frazier,gatech,georgia institute of technologyatlantagausa,
aies,2020,2,33756273375825,Mark,Riedl,gatech,georgia institute of technologyatlantagausa,
aies,2020,3,33756273375825,Brent,Harrison,ntu,university of kentuckylexingtonkyusa,
aies,2020,0,33756273375826,Subhro,Das,ibm,ibm researchcambridgemausa,
aies,2020,1,33756273375826,Sebastian,Steffen,mit,massachusetts institute of technologycambridgemausa,
aies,2020,2,33756273375826,Wyatt,Clarke,ibm,ibm researcharmonknyusa,
aies,2020,3,33756273375826,Prabhat,Reddy,ibm,ibm researchyorktown heightsnyusa,
aies,2020,4,33756273375826,Erik,Brynjolfsson,mit,massachusetts institute of technologycambridgemausa,
aies,2020,5,33756273375826,Martin,Fleming,ibm,ibm researcharmonknyusa,
aies,2020,0,33756273375866,Andrew,Smart,google,googlesan franciscocausa,
aies,2020,1,33756273375866,Larry,James,google,googlesan franciscocausa,
aies,2020,2,33756273375866,Ben,Hutchinson,google,googlesan franciscocausa,
aies,2020,3,33756273375866,Simone,Wu,google,googleseattlewausa,
aies,2020,4,33756273375866,Shannon,Vallor,google,googlemountain viewcausa,
aies,2020,0,33756273375867,Ava Thomas,Wright,northeastern,northeastern universitybostonmausa,
aies,2020,0,33756273375869,Andi,Peng,microsoft,microsoft researchredmondwausa,
aies,2020,1,33756273375869,Malina,Simard-Halm,cam,university of cambridgecambridgeunited kingdom,
aies,2020,0,33756273375870,Lok,Chan,duke,duke universitydurhamncusa,
aies,2020,1,33756273375870,Kenzie,Doyle,duke,duke universitydurhamncusa,
aies,2020,2,33756273375870,Duncan,McElfresh,umd,university of marylandcollege parkmdusa,
aies,2020,3,33756273375870,Vincent,Conitzer,duke,duke universitydurhamncusa,
aies,2020,4,33756273375870,John P.,Dickerson,umd,university of marylandcollege parkmdusa,
aies,2020,5,33756273375870,Jana,Schaich Borg,duke,duke universitydurhamncusa,
aies,2020,6,33756273375870,Walter,Sinnott-Armstrong,duke,duke universitydurhamncusa,
aies,2020,0,33756273375871,A.J.,Alvero,stanford,stanford universitystanfordcausa,
aies,2020,1,33756273375871,Noah,Arthurs,stanford,stanford universitystanfordcausa,
aies,2020,2,33756273375871,anthony lising,antonio,stanford,stanford universitystanfordcausa,
aies,2020,3,33756273375871,Benjamin W.,Domingue,stanford,stanford universitystanfordcausa,
aies,2020,4,33756273375871,Ben,Gebre-Medhin,stanford,stanford universitystanfordcausa,
aies,2020,5,33756273375871,Sonia,Giebel,stanford,stanford universitystanfordcausa,
aies,2020,6,33756273375871,Mitchell L.,Stevens,stanford,stanford universitystanfordcausa,
aies,2020,0,33756273375873,Seyyed Ahmad,Javadi,cam,university of cambridgecambridgeunited kingdom,
aies,2020,1,33756273375873,Richard,Cloete,cam,university of cambridgecambridgeunited kingdom,
aies,2020,2,33756273375873,Jennifer,Cobbe,cam,university of cambridgecambridgeunited kingdom,
aies,2020,3,33756273375873,Michelle Seng Ah,Lee,cam,university of cambridgecambridgeunited kingdom,
aies,2020,4,33756273375873,Jatinder,Singh,cam,university of cambridgecambridgeunited kingdom,
aies,2020,0,33756273375874,Daniel,Karpati,,university of luxembourgeschsuralzetteluxembourg,
aies,2020,1,33756273375874,Amro,Najjar,,university of luxembourgeschsuralzetteluxembourg,
aies,2020,2,33756273375874,Diego Agustin,Ambrossio,,university of luxembourgeschsuralzetteluxembourg,
aies,2020,0,33756273377139,Anita,Gurumurthy,,executive directorit for changebangalorekarnatakaindia,
aies,2020,0,33756273377140,Charlton D.,McIlwain,nyu,new york universitynew yorknyusa,
aies,2020,0,33756273377141,Gina,Neff,ox,university of oxfordoxfordunited kingdom,
aies,2020,0,33756273377142,Peter,Dabrock,experian,friedrichalexanderuniversity erlangen nurembergerlangengermany,
aies,2020,0,33756273375805,Andreia,Martinho,ethz,delft university of technologydelftnetherlands,
aies,2020,1,33756273375805,Maarten,Kroesen,ethz,delft university of technologydelftnetherlands,
aies,2020,2,33756273375805,Caspar,Chorus,ethz,delft university of technologydelftnetherlands,
aies,2020,0,33756273375844,Violet (Xinying),Chen,cmu,carnegie mellon universitypittsburghpausa,
aies,2020,1,33756273375844,J. N.,Hooker,cmu,carnegie mellon universitypittsburghpausa,
aies,2020,0,33756273375849,Bingquan,Zhu,tsinghua,tsinghua universitybeijingchina,
aies,2020,1,33756273375849,Hao,Fang,tsinghua,tsinghua universitybeijingchina,
aies,2020,2,33756273375849,Yanan,Sui,tsinghua,tsinghua universitybeijingchina,
aies,2020,3,33756273375849,Luming,Li,tsinghua,tsinghua universitybeijingchina,
