conference,year,index,paper_id,given_name,family_name,org,institution,email,title
aies,2020,0,33756273375807,Jeanna Neefe,Matthews,,clarkson universitypotsdamnyusa,,When Trusted Black Boxes Don't Agree
aies,2020,1,33756273375807,Graham,Northup,,clarkson universitypotsdamnyusa,,When Trusted Black Boxes Don't Agree
aies,2020,2,33756273375807,Isabella,Grasso,,clarkson universitypotsdamnyusa,,When Trusted Black Boxes Don't Agree
aies,2020,3,33756273375807,Stephen,Lorenz,,clarkson universitypotsdamnyusa,,When Trusted Black Boxes Don't Agree
aies,2020,4,33756273375807,Marzieh,Babaeianjelodar,,clarkson universitypotsdamnyusa,,When Trusted Black Boxes Don't Agree
aies,2020,5,33756273375807,Hunter,Bashaw,,clarkson universitypotsdamnyusa,,When Trusted Black Boxes Don't Agree
aies,2020,6,33756273375807,Sumona,Mondal,,clarkson universitypotsdamnyusa,,When Trusted Black Boxes Don't Agree
aies,2020,7,33756273375807,Abigail,Matthews,wisc,university of wisconsin madisonmadisonwiusa,,When Trusted Black Boxes Don't Agree
aies,2020,8,33756273375807,Mariama,Njie,,iona collegenew yorknyusa,,When Trusted Black Boxes Don't Agree
aies,2020,9,33756273375807,Jessica,Goldthwaite,,the legal aid societynew yorknyusa,,When Trusted Black Boxes Don't Agree
aies,2020,0,33756273375847,Pedro M.,Fernandes,,universidade de lisboalisbonportugal,,Adoption Dynamics and Societal Impact of AI Systems in Complex Networks
aies,2020,1,33756273375847,Francisco C.,Santos,,universidade de lisboalisbonportugal,,Adoption Dynamics and Societal Impact of AI Systems in Complex Networks
aies,2020,2,33756273375847,Manuel,Lopes,,universidade de lisboalisbonportugal,,Adoption Dynamics and Societal Impact of AI Systems in Complex Networks
aies,2020,0,33756273375841,Desmond U.,Patton,columbia,columbia universitynew yorknyusa,,Contextual Analysis of Social Media
aies,2020,1,33756273375841,William R.,Frey,columbia,columbia universitynew yorknyusa,,Contextual Analysis of Social Media
aies,2020,2,33756273375841,Kyle A.,McGregor,itu,lankenau institute for medical researchphiladelphiapausa,,Contextual Analysis of Social Media
aies,2020,3,33756273375841,Fei-Tzin,Lee,columbia,columbia universitynew yorknyusa,,Contextual Analysis of Social Media
aies,2020,4,33756273375841,Kathleen,McKeown,columbia,columbia universitynew yorknyusa,,Contextual Analysis of Social Media
aies,2020,5,33756273375841,Emanuel,Moss,,city university of new yorknew yorknyusa,,Contextual Analysis of Social Media
aies,2020,0,33756273375842,Cullen,O'Keefe,ox,university of oxfordsan franciscocausa,,The Windfall Clause
aies,2020,1,33756273375842,Peter,Cihon,ox,university of oxfordoxfordunited kingdom,,The Windfall Clause
aies,2020,2,33756273375842,Ben,Garfinkel,ox,university of oxfordoxfordunited kingdom,,The Windfall Clause
aies,2020,3,33756273375842,Carrick,Flynn,ox,university of oxfordoxfordunited kingdom,,The Windfall Clause
aies,2020,4,33756273375842,Jade,Leung,ox,university of oxfordoxfordunited kingdom,,The Windfall Clause
aies,2020,5,33756273375842,Allan,Dafoe,ox,university of oxfordoxfordunited kingdom,,The Windfall Clause
aies,2020,0,33756273375809,Gunay,Kazimzade,gmail,technische universitt berlinberlingermany,,"Biased Priorities, Biased Outcomes"
aies,2020,1,33756273375809,Milagros,Miceli,gmail,technische universitt berlinberlingermany,,"Biased Priorities, Biased Outcomes"
aies,2020,0,33756273375846,Arisa,Ema,u-tokyo,the university of tokyotokyojapan,,Proposal for Type Classification for Building Trust in Medical Artificial Intelligence Systems
aies,2020,1,33756273375846,Katsue,Nagakura,,minctokyojapan,,Proposal for Type Classification for Building Trust in Medical Artificial Intelligence Systems
aies,2020,2,33756273375846,Takanori,Fujita,keio,keio universitytokyojapan,,Proposal for Type Classification for Building Trust in Medical Artificial Intelligence Systems
aies,2020,0,33756273375808,Derek,Leben,pitt,university of pittsburghjohnstownpittsburghpausa,,Normative Principles for Evaluating Fairness in Machine Learning
aies,2020,0,33756273375806,Olivia J.,Erdélyi,,university of canterburychristchurchnew zealand,,The AI Liability Puzzle and a Fund-Based Work-Around
aies,2020,1,33756273375806,Gábor,Erdélyi,,university of canterburychristchurchnew zealand,,The AI Liability Puzzle and a Fund-Based Work-Around
aies,2020,0,33756273375802,Zachary,Schutzman,upenn,university of pennsylvaniaphiladelphiapausa,,Trade-offs in Fair Redistricting
aies,2020,0,33756273375845,Suvradip,Maitra,mit,university of queenslandbrisbaneqldaustralia,,Artificial Intelligence and Indigenous Perspectives
aies,2020,0,33756273375812,Shubham,Sharma,utexas,university of texas at austinaustintxusa,,CERTIFAI
aies,2020,1,33756273375812,Jette,Henderson,,cognitivescaleaustintxusa,,CERTIFAI
aies,2020,2,33756273375812,Joydeep,Ghosh,,cognitivescaleaustintxusa,,CERTIFAI
aies,2020,0,33756273375829,Alan,Davoust,,universitdu qubec en outaouaisgatineaupqcanada,,Social Contracts for Non-Cooperative Games
aies,2020,1,33756273375829,Michael,Rovatsos,ed,the university of edinburghedinburghunited kingdom,,Social Contracts for Non-Cooperative Games
aies,2020,0,33756273375818,Vedant,Nanda,umd,university of maryland ampmpiswscollege parkmdusa,,Balancing the Tradeoff between Profit and Fairness in Rideshare Platforms during High-Demand Hours
aies,2020,1,33756273375818,Pan,Xu,itu,new jersey institute of technologynewarknjusa,,Balancing the Tradeoff between Profit and Fairness in Rideshare Platforms during High-Demand Hours
aies,2020,2,33756273375818,Karthik Abinav,Sankararaman,umd,university of maryland ampfacebookcollege parkmdusa,,Balancing the Tradeoff between Profit and Fairness in Rideshare Platforms during High-Demand Hours
aies,2020,3,33756273375818,John P.,Dickerson,umd,university of marylandcollege parkmdusa,,Balancing the Tradeoff between Profit and Fairness in Rideshare Platforms during High-Demand Hours
aies,2020,4,33756273375818,Aravind,Srinivasan,umd,university of marylandcollege parkmdusa,,Balancing the Tradeoff between Profit and Fairness in Rideshare Platforms during High-Demand Hours
aies,2020,0,33756273375861,Roel I.J.,Dobbe,nyu,new york universitynew yorknyusa,,Hard Choices in Artificial Intelligence
aies,2020,1,33756273375861,Thomas Krendl,Gilbert,berkeley,university of californiaberkeleyberkeleycausa,,Hard Choices in Artificial Intelligence
aies,2020,2,33756273375861,Yonatan,Mintz,gatech,georgia institute of technologyatlantagausa,,Hard Choices in Artificial Intelligence
aies,2020,0,33756273375852,Gemma,Galdon Clavell,,eticas research and consultingbarcelonaspain,,Auditing Algorithms
aies,2020,1,33756273375852,Mariano,Martín Zamorano,,eticas research and consultingbarcelonaspain,,Auditing Algorithms
aies,2020,2,33756273375852,Carlos,Castillo,gmail,pompeu fabra universitybarcelonaspain,,Auditing Algorithms
aies,2020,3,33756273375852,Oliver,Smith,,alpha telefnicabarcelonaspain,,Auditing Algorithms
aies,2020,4,33756273375852,Aleksandar,Matic,,alpha telefnicabarcelonaspain,,Auditing Algorithms
aies,2020,0,33756273375853,Veljko,Dubljevic,ncsu,north carolina state universityraleighncusa,,Toward Implementing the Agent-Deed-Consequence Model of Moral Judgment in Autonomous Vehicles
aies,2020,0,33756273375862,Yunfeng,Zhang,ibm,ibm thomas jwatson research centeryorktown heightsnyusa,,Joint Optimization of AI Fairness and Utility
aies,2020,1,33756273375862,Rachel,Bellamy,ibm,ibm thomas jwatson research centeryorktown heightsnyusa,,Joint Optimization of AI Fairness and Utility
aies,2020,2,33756273375862,Kush,Varshney,ibm,ibm thomas jwatson research centeryorktown heightsnyusa,,Joint Optimization of AI Fairness and Utility
aies,2020,0,33756273375856,Tongyu,Zhou,,williams collegewilliamstownmausa,,Assessing Post-hoc Explainability of the BKT Algorithm
aies,2020,1,33756273375856,Haoyu,Sheng,,williams collegewilliamstownmausa,,Assessing Post-hoc Explainability of the BKT Algorithm
aies,2020,2,33756273375856,Iris,Howley,,williams collegewilliamstownmausa,,Assessing Post-hoc Explainability of the BKT Algorithm
aies,2020,0,33756273375848,Lingxiao,Huang,yale,yale universitynew havenctusa,,"Towards Just, Fair and Interpretable Methods for Judicial Subset Selection"
aies,2020,1,33756273375848,Julia,Wei,yale,yale universitynew havenctusa,,"Towards Just, Fair and Interpretable Methods for Judicial Subset Selection"
aies,2020,2,33756273375848,Elisa,Celis,yale,yale universitynew havenctusa,,"Towards Just, Fair and Interpretable Methods for Judicial Subset Selection"
aies,2020,0,33756273375828,Sina,Fazelpour,cmu,carnegie mellon universitypittsburghpausa,,Algorithmic Fairness from a Non-ideal Perspective
aies,2020,1,33756273375828,Zachary C.,Lipton,cmu,carnegie mellon universitypittsburghpausa,,Algorithmic Fairness from a Non-ideal Perspective
aies,2020,0,33756273375858,Julian,Zucker,northeastern,northeastern universitybostonmausa,,Arbiter
aies,2020,1,33756273375858,Myraeka,d'Leeuwen,northeastern,northeastern universitybostonmausa,,Arbiter
aies,2020,0,33756273375860,Efrén,Cruz Cortés,psu,the pennsylvania state universitystate collegepausa,,An Invitation to System-wide Algorithmic Fairness
aies,2020,1,33756273375860,Debashis,Ghosh,colorado,university of colorado anschutzauroracousa,,An Invitation to System-wide Algorithmic Fairness
aies,2020,0,33756273375816,Rida,Qadri,mit,massachusetts institute of technologycambridgemausa,,Algorithmized but not Atomized? How Digital Platforms Engender New Forms of Worker Solidarity in Jakarta
