conference,year,index,paper_id,given_name,family_name,org,institution,email,title
aies,2019,0,33066183314266,Junaid,Ali,mpi-sws,max planck institute for software systemssaarbrckengermany,,Loss-Aversively Fair Classification
aies,2019,1,33066183314266,Muhammad Bilal,Zafar,mpi-sws,max planck institute for software systemssaarbrckengermany,,Loss-Aversively Fair Classification
aies,2019,2,33066183314266,Adish,Singla,mpi-sws,max planck institute for software systemssaarbrckengermany,,Loss-Aversively Fair Classification
aies,2019,3,33066183314266,Krishna P.,Gummadi,mpi-sws,max planck institute for software systemssaarbrckengermany,,Loss-Aversively Fair Classification
aies,2019,0,33066183314260,Lior,Wolf,fb,facebook ai research amptel aviv universitytel avivisrael,,A Formal Approach to Explainability
aies,2019,1,33066183314260,Tomer,Galanti,tau,tel aviv universitytel avivisrael,,A Formal Approach to Explainability
aies,2019,2,33066183314260,Tamir,Hazan,technion,technionhaifaisrael,,A Formal Approach to Explainability
aies,2019,0,33066183314282,Naman,Goel,polytechnique,ecole polytechnique fdrale de lausannelausanneswitzerland,,"Crowdsourcing with Fairness, Diversity and Budget Constraints"
aies,2019,1,33066183314282,Boi,Faltings,polytechnique,ecole polytechnique fdrale de lausannelausanneswitzerland,,"Crowdsourcing with Fairness, Diversity and Budget Constraints"
aies,2019,0,33066183314262,Rodrigo,L. Cardoso,ufmg,universidade federal de minas geraisbelo horizontebrazil,,A Framework for Benchmarking Discrimination-Aware Models in Machine Learning
aies,2019,1,33066183314262,Wagner,Meira Jr.,ufmg,universidade federal de minas geraisbelo horizontebrazil,,A Framework for Benchmarking Discrimination-Aware Models in Machine Learning
aies,2019,2,33066183314262,Virgilio,Almeida,ufmg,universidade federal de minas geraisbelo horizontebrazil,,A Framework for Benchmarking Discrimination-Aware Models in Machine Learning
aies,2019,3,33066183314262,Mohammed,J. Zaki,rpi,rensselaer polytechnic institutetroynyusa,,A Framework for Benchmarking Discrimination-Aware Models in Machine Learning
aies,2019,0,33066183314281,Tathagata,Chakraborti,ibm,ibm research aicambridgemausa,,(When) Can AI Bots Lie?
aies,2019,1,33066183314281,Subbarao,Kambhampati,asu,arizona state universitytempeazusa,,(When) Can AI Bots Lie?
aies,2019,0,33066183314280,Joe,Cruz,,williams collegewilliamstownmausa,,Shared Moral Foundations of Embodied Artificial Intelligence
aies,2019,0,33066183314225,Ryan,Calo,washington,university of washingtonseattlewausa,,How We Talk About AI (and Why It Matters)
aies,2019,0,33066183314227,Anca,Dragan,berkeley,university of californiaberkeleyberkeleycausa,,Specifying AI Objectives as a Human-AI Collaboration problem
aies,2019,0,33066183314269,Charles M.,Giattino,duke,duke universitydurhamncusa,,The Seductive Allure of Artificial Intelligence-Powered Neurotechnology
aies,2019,1,33066183314269,Lydia,Kwong,duke,duke universitydurhamncusa,,The Seductive Allure of Artificial Intelligence-Powered Neurotechnology
aies,2019,2,33066183314269,Chad,Rafetto,duke,duke universitydurhamncusa,,The Seductive Allure of Artificial Intelligence-Powered Neurotechnology
aies,2019,3,33066183314269,Nita A.,Farahany,duke,duke universitydurhamncusa,,The Seductive Allure of Artificial Intelligence-Powered Neurotechnology
aies,2019,0,33066183314259,Alexander,Peysakhovich,fb,facebook ai researchnew yorknyusa,,Reinforcement Learning and Inverse Reinforcement Learning with System 1 and System 2
aies,2019,0,33066183314261,Ava Thomas,Wright,uga,university of georgiaathensgausa,,Rightful Machines and Dilemmas
aies,2019,0,33066183314240,Han,Yu,ntu,nanyang technological universitysingaporesingapore,,Ethically Aligned Opportunistic Scheduling for Productive Laziness
aies,2019,1,33066183314240,Chunyan,Miao,ntu,nanyang technological universitysingaporesingapore,,Ethically Aligned Opportunistic Scheduling for Productive Laziness
aies,2019,2,33066183314240,Yongqing,Zheng,gmail,shandong universityjinanchina,,Ethically Aligned Opportunistic Scheduling for Productive Laziness
aies,2019,3,33066183314240,Lizhen,Cui,gmail,shandong universityjinanchina,,Ethically Aligned Opportunistic Scheduling for Productive Laziness
aies,2019,4,33066183314240,Simon,Fauvel,ntu,nanyang technological universitysingaporesingapore,,Ethically Aligned Opportunistic Scheduling for Productive Laziness
aies,2019,5,33066183314240,Cyril,Leung,ubc,the university of british columbiavancouvercanada,,Ethically Aligned Opportunistic Scheduling for Productive Laziness
aies,2019,0,33066183314323,Alan,Mishler,cmu,carnegie mellon universitypittsburghpausa,,Modeling Risk and Achieving Algorithmic Fairness Using Potential Outcomes
aies,2019,0,33066183314242,Andrew,Morgan,cornell,cornell universityithacanyusa,,Paradoxes in Fair Computer-Aided Decision Making
aies,2019,1,33066183314242,Rafael,Pass,cornell,cornell technew york citynyusa,,Paradoxes in Fair Computer-Aided Decision Making
aies,2019,0,33066183314245,Ravi,Pandya,berkeley,university of californiaberkeleyberkeleycausa,,Human-AI Learning Performance in Multi-Armed Bandits
aies,2019,1,33066183314245,Sandy H.,Huang,berkeley,university of californiaberkeleyberkeleycausa,,Human-AI Learning Performance in Multi-Armed Bandits
aies,2019,2,33066183314245,Dylan,Hadfield-Menell,berkeley,university of californiaberkeleyberkeleycausa,,Human-AI Learning Performance in Multi-Armed Bandits
aies,2019,3,33066183314245,Anca D.,Dragan,berkeley,university of californiaberkeleyberkeleycausa,,Human-AI Learning Performance in Multi-Armed Bandits
aies,2019,0,33066183314283,Bishwamittra,Ghosh,nus,national university of singaporesingaporesingapore,,IMLI
aies,2019,1,33066183314283,Kuldeep S.,Meel,nus,national university of singaporesingaporesingapore,,IMLI
aies,2019,0,33066183317964,Daniel,McNamara,anu,australian national university ampcsiro datacanberraaustralia,,Costs and Benefits of Fair Representation Learning
aies,2019,1,33066183317964,Cheng Soon,Ong,anu,australian national university ampcsiro datacanberraaustralia,,Costs and Benefits of Fair Representation Learning
aies,2019,2,33066183317964,Robert C.,Williamson,anu,australian national university ampcsiro datacanberraaustralia,,Costs and Benefits of Fair Representation Learning
