conference,year,index,paper_id,given_name,family_name,org,institution,email,title
facct,2020,0,33510953372861,Lydia T.,Liu,ucsd,university of california,,The disparate equilibria of algorithmic decision making when individuals invest rationally
facct,2020,1,33510953372861,Ashia,Wilson,microsoft,microsoft research,,The disparate equilibria of algorithmic decision making when individuals invest rationally
facct,2020,2,33510953372861,Nika,Haghtalab,cornell,cornell university,,The disparate equilibria of algorithmic decision making when individuals invest rationally
facct,2020,3,33510953372861,Adam Tauman,Kalai,microsoft,microsoft research,,The disparate equilibria of algorithmic decision making when individuals invest rationally
facct,2020,4,33510953372861,Christian,Borgs,microsoft,microsoft research,,The disparate equilibria of algorithmic decision making when individuals invest rationally
facct,2020,5,33510953372861,Jennifer,Chayes,microsoft,microsoft research,,The disparate equilibria of algorithmic decision making when individuals invest rationally
facct,2020,0,33510953372854,Jared,Moore,washington,university of washington,,Towards a more representative politics in the ethics of computer science
facct,2020,0,33510953372848,Christina,Ilvento,harvard,harvard university,,Multi-category fairness in sponsored search auctions
facct,2020,1,33510953372848,Meena,Jagadeesan,harvard,harvard university,,Multi-category fairness in sponsored search auctions
facct,2020,2,33510953372848,Shuchi,Chawla,wisc,university of wisconsinmadison,,Multi-category fairness in sponsored search auctions
facct,2020,0,33510953372872,David,Pujol,duke,duke university,,Fair decision making using privacy-protected data
facct,2020,1,33510953372872,Ryan,McKenna,umass,university of massachusettsamherst,,Fair decision making using privacy-protected data
facct,2020,2,33510953372872,Satya,Kuppam,umass,university of massachusettsamherst,,Fair decision making using privacy-protected data
facct,2020,3,33510953372872,Michael,Hay,,colgate university,,Fair decision making using privacy-protected data
facct,2020,4,33510953372872,Ashwin,Machanavajjhala,duke,duke university,,Fair decision making using privacy-protected data
facct,2020,5,33510953372872,Gerome,Miklau,umass,university of massachusettsamherst,,Fair decision making using privacy-protected data
facct,2020,0,33510953375623,Lizhen,Liang,syr,syracuse university,,Artificial mental phenomena
facct,2020,1,33510953375623,Daniel E.,Acuna,syr,syracuse university,,Artificial mental phenomena
facct,2020,0,33510953375784,Alejandro,Noriega-Campero,,prosperia labs,,Algorithmic targeting of social policies
facct,2020,1,33510953375784,Bernardo,Garcia-Bulle,mit,mit,,Algorithmic targeting of social policies
facct,2020,2,33510953375784,Luis Fernando,Cantu,,itammexico citymexico,,Algorithmic targeting of social policies
facct,2020,3,33510953375784,Michiel A.,Bakker,mit,mit,,Algorithmic targeting of social policies
